Date,Code,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT
30-11-2023,BBCA,1887976195,89293060,354436350,2528900,4875979417,1195018173,77599152,66583700,2662300,589152443,2055033623,6191231849,2970011790,329438610,19077911261,1338631940,660416705,10689790652
30-09-2024,BBCA,1473895095,85426960,270044300,1645000,4578274937,795260273,63093105,42505200,1769200,625981345,1818892951,6512076634,3001532672,315505610,20270154840,1082155460,641946074,10873531464
31-10-2024,BBCA,1468040595,89497460,275343800,1645000,4670268753,831188926,64953181,45674300,2323600,603263262,1822159564,6580434003,2896804454,315418010,20179411983,1082604620,616238774,10908420835
30-12-2024,BBCA,1551509045,111275370,291273300,1862500,5013556898,883869955,72097480,48023100,1886100,614253470,1845768726,6502084777,2703263539,316159410,20178844121,1028554463,616001374,10673407492
31-01-2025,BBCA,1510040845,123757520,290452200,2373500,5306802026,888910579,77405128,49646600,2549000,625603289,1834969615,6504017494,2579726483,317066610,20011583331,999069367,615670374,10714047159
28-02-2025,BBCA,1540893185,140617370,293359800,32053300,5611018570,914093811,82409309,50842800,2032700,628945161,1787236602,6531398725,2432151987,317441410,19934178091,1003408477,617392374,10534217448
