Date,Code,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT
29-12-2023,MTEL,1027771000,6773575630,291931848,0,1443727400,989254862,11210148,156946300,43310000,51579400,151329458,289145951,2241231003,753600,1458222595,257025636,6114100,8337662569
31-01-2024,MTEL,975808600,6844548230,275465948,0,1516791100,945978960,10250731,160529400,43310000,50441700,179922661,289145951,2237828403,806600,1455689536,259111136,6114100,8279048444
29-02-2024,MTEL,931525000,6885673030,240884848,0,1579024200,936004130,11249793,158392800,43310000,50552700,202619261,292421951,2234904903,1182300,1483637147,256159493,7045700,8216204244
